,ポケモン名,HP,攻撃,防御,特攻,特防,素早,オリジナルのタイプ1,オリジナルのタイプ2,ノーマル,ほのお,みず,でんき,くさ,こおり,かくとう,どく,じめん,ひこう,エスパー,むし,いわ,ゴースト,ドラゴン,あく,はがね,フェアリー,カイリュー,マリルリ,ハッサム,キノガッサ,ガブリアス,ジバコイル,ウルガモス,ミミッキュ,アーマーガア,ドラパルト,マスカーニャ,キョジオーン,キラフロル,ヘイラッシャ,コノヨザル,ドオー,ドドゲザン,イダイナキバ,ハバタクカミ,テツノツツミ,テツノカイナ,テツノドクガ,セグレイブ,サーフゴー,チオンジェン,パオジアン,ディンルー,イーユイ,イルカマン(マイティ),ウォッシュロトム
252,ヤドキング,95,75,80,100,110,30,みず,エスパー,0.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-2.0,0.0,-1.0,-1.0,0.0,2.0,0.0,1.0,0.0,-1.0,0.0
253,ガラルヤドキング,95,65,80,110,110,30,どく,エスパー,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
254,ムウマ,60,60,60,85,85,85,ゴースト,なし,-3.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,-3.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-3.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,-2.0,-4.0,1.0,-6.0,1.0,0.0,-3.0,-1.0,0.0,1.0,1.0,1.0,-2.0,1.0,0.0,0.0
255,アンノーン,48,72,48,72,48,48,エスパー,なし,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
256,ソーナンス,190,33,58,33,58,33,エスパー,なし,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
257,キリンリキ,70,80,65,90,65,85,ノーマル,エスパー,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.0,1.0,-3.0,0.0,-3.0,-2.0,0.0,0.0,0.0,-3.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,-2.0,1.0,1.0,1.0,0.0,0.0
258,クヌギダマ,50,65,90,35,35,15,むし,なし,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,0.0,-2.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0
259,フォレトス,75,90,140,60,60,40,むし,はがね,-1.0,2.0,0.0,0.0,-2.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-2.0,0.0,-3.0,0.0,0.0,-3.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-2.0,-1.0,-2.0,-1.0,0.0,2.0,0.0,0.0
260,ノコッチ,100,70,70,65,65,45,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
261,グライガー,65,75,105,35,65,85,じめん,ひこう,0.0,0.0,1.0,-3.0,0.0,2.0,-1.0,-1.0,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-4.0,0.0,-4.0,0.0,3.0,-4.0,-1.0,2.0,0.0,0.0,2.0,-3.0,0.0,1.0,-2.0
262,ハガネール,75,85,200,55,65,30,はがね,じめん,-1.0,1.0,1.0,-3.0,0.0,0.0,1.0,-3.0,1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,-1.0,-2.0,0.0,-2.0,1.0,0.0,-4.0,0.0,-1.0,-2.0,-1.0,0.0,-2.0,-5.0,1.0,1.0,-2.0,-1.0,2.0,-1.0,1.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-2.0
263,メガハガネール,75,125,230,55,95,30,はがね,じめん,-1.0,1.0,1.0,-3.0,0.0,0.0,1.0,-3.0,1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,-1.0,-2.0,0.0,-2.0,1.0,0.0,-4.0,0.0,-1.0,-2.0,-1.0,0.0,-2.0,-5.0,1.0,1.0,-2.0,-1.0,2.0,-1.0,1.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-2.0
264,ブルー,60,80,50,40,40,30,フェアリー,なし,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,1.0,0.0,-3.0,0.0,0.0,-1.0,-3.0,1.0,-1.0,0.0,1.0,-3.0,-1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-3.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
265,グランブル,90,120,75,60,60,45,フェアリー,なし,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,1.0,0.0,-3.0,0.0,0.0,-1.0,-3.0,1.0,-1.0,0.0,1.0,-3.0,-1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-3.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
266,ハリーセン,65,95,85,55,55,85,みず,どく,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-2.0,-1.0,1.0,0.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0
267,ハリーセン(ヒスイ),65,95,85,55,55,85,あく,どく,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-3.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,0.0
268,ハッサム,70,130,100,55,80,65,むし,はがね,-1.0,2.0,0.0,0.0,-2.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-2.0,0.0,-3.0,0.0,0.0,-3.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-2.0,-1.0,-2.0,-1.0,0.0,2.0,0.0,0.0
269,メガハッサム,70,150,140,65,100,75,むし,はがね,-1.0,2.0,0.0,0.0,-2.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-2.0,0.0,-3.0,0.0,0.0,-3.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-2.0,-1.0,-2.0,-1.0,0.0,2.0,0.0,0.0
270,ツボツボ,20,10,230,10,230,5,むし,いわ,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
271,ヘラクロス,80,125,75,40,95,85,むし,かくとう,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,2.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,0.0,0.0,1.0,2.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-2.0,1.0,0.0,-1.0,1.0,0.0,0.0,-2.0,-1.0,-2.0,0.0,0.0,0.0
272,メガヘラクロス,80,185,115,40,105,75,むし,かくとう,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,2.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,0.0,0.0,1.0,2.0,0.0,-2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-2.0,1.0,0.0,-1.0,1.0,0.0,0.0,-2.0,-1.0,-2.0,0.0,0.0,0.0
273,ニューラ,55,95,55,35,75,115,あく,こおり,0.0,1.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,-3.0,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,-1.0,2.0,1.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,0.0,0.0
274,ニューラ(ヒスイ),55,95,55,35,75,115,かくとう,どく,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,2.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,0.0,1.0,0.0,-2.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,0.0
275,ヒメグマ,60,80,50,50,50,40,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
276,リングマ,90,130,75,75,75,55,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
277,マグマッグ,40,40,40,70,40,20,ほのお,なし,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
278,マグカルゴ,60,50,120,90,80,30,ほのお,いわ,-1.0,-2.0,2.0,0.0,0.0,-1.0,1.0,-1.0,2.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,2.0,0.0,-3.0,-1.0,-1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,-1.0,1.0,1.0,-3.0,-1.0,0.0,0.0,-1.0,2.0,-2.0,2.0,2.0
279,ウリムー,50,50,40,30,30,50,こおり,じめん,0.0,1.0,1.0,-3.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,-2.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0
280,イノムー,100,100,80,60,60,50,こおり,じめん,0.0,1.0,1.0,-3.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,-2.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0
281,サニーゴ,65,55,95,65,95,35,みず,いわ,-1.0,-2.0,0.0,1.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,3.0,1.0,1.0,-2.0,0.0,-1.0,0.0,2.0,0.0,-1.0,0.0,1.0,0.0,0.0,2.0,0.0,-1.0,2.0,-3.0,-1.0,0.0,2.0,-1.0,1.0,-2.0,0.0,1.0
282,ガラルサニーゴ,60,55,100,65,100,30,ゴースト,なし,-3.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,-2.0,-1.0,1.0,-3.0,1.0,0.0,-3.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
283,テッポウオ,35,65,35,65,35,65,みず,なし,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0
284,オクタン,75,105,75,105,75,45,みず,なし,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0
285,デリバード,45,55,45,65,45,75,こおり,ひこう,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,-3.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,2.0,0.0,0.0,1.0,0.0,-1.0,2.0,2.0,0.0,0.0,-3.0,1.0,-3.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,-3.0,1.0,0.0,1.0
286,マンタイン,85,40,70,80,140,70,みず,ひこう,0.0,-1.0,-3.0,2.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,-2.0,-1.0,-3.0,1.0,-2.0,0.0,-1.0,0.0,0.0,1.0,1.0,-3.0,-1.0,-3.0,-1.0,-4.0,0.0,-3.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,-3.0,-1.0
287,エアームド,65,80,140,40,70,70,はがね,ひこう,-1.0,1.0,0.0,1.0,-2.0,0.0,0.0,-3.0,-3.0,-1.0,-1.0,-2.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-2.0,-1.0,-3.0,-2.0,-4.0,0.0,-1.0,-1.0,-2.0,-1.0,-2.0,0.0,-3.0,0.0,0.0,-6.0,-1.0,-3.0,-1.0,0.0,1.0,-2.0,-1.0,-1.0,-2.0,0.0,-3.0,1.0,0.0,1.0
288,デルビル,45,60,30,80,50,65,あく,ほのお,0.0,-3.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,0.0,-3.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,-3.0,-1.0,-1.0,-1.0,-2.0,1.0,1.0,1.0,0.0,1.0,-2.0,2.0,-1.0,0.0,1.0,-3.0,-1.0,-2.0,-2.0,-2.0,0.0,-4.0,1.0,1.0
289,ヘルガー,75,90,50,110,80,95,あく,ほのお,0.0,-3.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,0.0,-3.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,-3.0,-1.0,-1.0,-1.0,-2.0,1.0,1.0,1.0,0.0,1.0,-2.0,2.0,-1.0,0.0,1.0,-3.0,-1.0,-2.0,-2.0,-2.0,0.0,-4.0,1.0,1.0
290,メガヘルガー,75,90,90,140,90,115,あく,ほのお,0.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,0.0,-3.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,1.0,1.0,1.0,0.0,1.0,-2.0,2.0,-1.0,0.0,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,0.0,-2.0,1.0,1.0
291,キングドラ,75,95,95,95,95,85,みず,ドラゴン,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-2.0,1.0,-1.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,1.0,-2.0,0.0,-2.0,1.0,-1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0
292,ゴマゾウ,90,60,60,40,40,40,じめん,なし,0.0,0.0,1.0,-3.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,-3.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-2.0
293,ドンファン,90,120,120,60,60,50,じめん,なし,0.0,0.0,1.0,-3.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,-3.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-2.0
294,ポリゴン2,85,80,90,105,95,60,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
295,オドシシ,73,95,62,85,65,85,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
296,ドーブル,55,20,35,20,45,75,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
297,バルキー,35,35,35,35,35,35,かくとう,なし,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
298,カポエラー,50,95,95,35,110,70,かくとう,なし,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
299,ムチュール,45,30,15,85,65,65,こおり,エスパー,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,-1.0,0.0,1.0,-1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0
300,エレキッド,45,63,37,65,55,95,でんき,なし,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0
301,ブビィ,45,75,37,70,55,83,ほのお,なし,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
302,ミルタンク,95,80,105,40,70,100,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
303,ハピナス,255,10,10,75,135,55,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
304,ライコウ,90,85,75,115,100,115,でんき,なし,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0
305,エンテイ,115,115,85,90,75,100,ほのお,なし,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
306,スイクン,100,75,115,90,115,85,みず,なし,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0
307,ヨーギラス,50,64,50,45,50,41,いわ,じめん,-1.0,-1.0,2.0,-3.0,2.0,1.0,1.0,-2.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,2.0,1.0,3.0,1.0,-2.0,-1.0,0.0,0.0,0.0,2.0,-1.0,-3.0,2.0,1.0,-1.0,1.0,2.0,0.0,3.0,-2.0,-3.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,-1.0
308,サナギラス,70,84,70,65,70,51,いわ,じめん,-1.0,-1.0,2.0,-3.0,2.0,1.0,1.0,-2.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,2.0,1.0,3.0,1.0,-2.0,-1.0,0.0,0.0,0.0,2.0,-1.0,-3.0,2.0,1.0,-1.0,1.0,2.0,0.0,3.0,-2.0,-3.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,-1.0
